Event,Green,Yellow,Red,Start,Closest_teleport,Duration
Essence Mine (Lamavora),23:35,23:45,23:55,00:00,Crystal Mine,10:00
Public event (Hulthine's Basin),00:35,00:45,00:55,01:00,Flying High,05:00
Knight's Fort (Lamavora),00:35,00:45,00:55,01:00,Knight's Fort,06:00
Flying Fish (Rainforest),00:35,00:45,00:55,01:00,Demon's Cave,10:00
Portal event (Highsteppe),00:35,00:45,00:55,01:00,Rope Bridge,10:00
Obnobi Encampment (Rainforest),01:35,01:45,01:55,02:00,Demon's Cave,05:40
Defend the castle-piece (Lamavora),01:35,01:45,01:55,02:00,Vulcan Point,05:00
Gate defense (Highsteppe),02:35,02:45,02:55,03:00,Trader's Road,06:00
Public event (Wastelands),02:35,02:45,02:55,03:00,Old Growth,02:30
Wagon Graveyard (Rainforest),02:35,02:45,02:55,03:00,Wagon Graveyard,04:00
Public event (Hulthine's Basin),02:35,02:45,02:55,03:00,Flying High,05:00
Knight's Fort (Lamavora),03:35,03:45,03:55,04:00,Knight's Fort,06:00
Flying Fish (Rainforest),03:35,03:45,03:55,04:00,Demon's Cave,10:00
Portal event (Highsteppe),04:35,04:45,04:55,05:00,Rope Bridge,10:00
Essence Mine (Lamavora),04:35,04:45,04:55,05:00,Crystal Mine,10:00
Gate defense (Highsteppe),05:35,05:45,05:55,06:00,Trader's Road,06:00
Flying Fish (Rainforest),05:35,05:45,05:55,06:00,Demon's Cave,10:00
Defend the castle-piece (Lamavora),05:35,05:45,05:55,06:00,Vulcan Point,05:00
Public event (Hulthine's Basin),05:35,05:45,05:55,06:00,Flying High,05:00
Public event (Wastelands),05:35,05:45,05:55,06:00,Old Growth,02:30
Wagon Graveyard (Rainforest),06:35,06:45,06:55,07:00,Wagon Graveyard,04:00
Obnobi Encampment (Rainforest),06:35,06:45,06:55,07:00,Demon's Cave,05:40
Gate defense (Highsteppe),07:35,07:45,07:55,08:00,Trader's Road,06:00
Essence Mine (Lamavora),07:35,07:45,07:55,08:00,Crystal Mine,10:00
Public event (Hulthine's Basin),07:35,07:45,07:55,08:00,Flying High,05:00
Public event (Wastelands),07:35,07:45,07:55,08:00,Old Growth,02:30
